date,genre_key,page_num,workbook_ref,lesson_title,section_code,section_name,group_label,q,a,result,note
2026-06-07 13:04,history,7,本誌 P.10・11,貿易の窓口と琉球・アイヌ民族,A,教科書で確認,[1],⑧,唐人屋敷,batsu,
2026-06-07 13:05,history,7,本誌 P.10・11,貿易の窓口と琉球・アイヌ民族,A,教科書で確認,[2],⑪,琉球王国,maru,
2026-06-07 13:08,history,10,本誌 P.16・17,社会の変化と幕府の対策,A,教科書で確認,[1],②,上米の制,batsu,
2026-06-07 13:08,history,7,本誌 P.10・11,貿易の窓口と琉球・アイヌ民族,A,教科書で確認,[2],⑬,謝恩使,batsu,
2026-06-07 13:09,history,9,本誌 P.14・15,陸の道・海の道と元禄文化,A,教科書で確認,[1],②,飛脚,maru,
2026-06-07 13:09,history,9,本誌 P.14・15,陸の道・海の道と元禄文化,A,教科書で確認,[2],⑫,井原西鶴,maru,
2026-06-07 13:10,history,3,本誌 P.4・5,戦乱から全国統一へ,A,教科書で確認,[3],⑫,天守,maru,
2026-06-07 13:10,history,10,本誌 P.16・17,社会の変化と幕府の対策,A,教科書で確認,[3],⑭,葛飾北斎,maru,
2026-06-07 13:11,history,7,本誌 P.10・11,貿易の窓口と琉球・アイヌ民族,B,力をつけよう,[1],(3)①,エ,batsu,
2026-06-07 13:12,history,10,本誌 P.16・17,社会の変化と幕府の対策,A,教科書で確認,[2],⑫,寛政の改革,maru,
2026-06-07 13:15,history,8,本誌 P.12・13,身分制社会と産業の発達,B,力をつけよう,[2],(3)Y,生野銀山,maru,
2026-06-07 13:16,history,9,本誌 P.14・15,陸の道・海の道と元禄文化,A,教科書で確認,[1],⑤,三都,maru,
2026-06-07 13:16,history,10,本誌 P.16・17,社会の変化と幕府の対策,B+,資料の活用,[1],(1),ウ,batsu,
2026-06-07 13:18,history,7,本誌 P.10・11,貿易の窓口と琉球・アイヌ民族,B+,資料の活用,[1],(1)A,清,batsu,
2026-06-07 13:18,history,7,本誌 P.10・11,貿易の窓口と琉球・アイヌ民族,A,教科書で確認,[1],⑥,オランダ風説書,maru,
2026-06-07 13:18,history,8,本誌 P.12・13,身分制社会と産業の発達,A,教科書で確認,[1],③,帯刀,maru,
2026-06-07 13:19,history,7,本誌 P.10・11,貿易の窓口と琉球・アイヌ民族,A,教科書で確認,[2],⑫,慶賀使,maru,
2026-06-07 13:19,history,3,本誌 P.4・5,戦乱から全国統一へ,A,教科書で確認,[3],⑮,南蛮文化,maru,
2026-06-07 13:20,history,10,本誌 P.16・17,社会の変化と幕府の対策,A,教科書で確認,[1],⑤,商品作物,maru,
2026-06-07 13:21,history,2,本誌 P.2・3,大航海によって結びつく世界,A,教科書で確認,[2],⑪,インカ帝国,batsu,
2026-06-07 13:22,history,8,本誌 P.12・13,身分制社会と産業の発達,B,力をつけよう,[1],(3),ア,batsu,
2026-06-07 13:22,history,6,本誌 P.8・9,幕藩体制の始まりと貿易統制,A,教科書で確認,[1],②,関ケ原の戦い,batsu,
2026-06-07 13:23,history,9,本誌 P.14・15,陸の道・海の道と元禄文化,B,力をつけよう,[2],(4),浮世草子,maru,
2026-06-07 13:23,history,2,本誌 P.2・3,大航海によって結びつく世界,B+,資料の活用,[1],(2)X,スペイン,batsu,
2026-06-07 13:24,history,2,本誌 P.2・3,大航海によって結びつく世界,A,教科書で確認,[3],⑬,鉄砲,maru,
2026-06-07 13:24,history,10,本誌 P.16・17,社会の変化と幕府の対策,B,力をつけよう,[2],(2),伊能忠敬,maru,
2026-06-07 13:24,history,7,本誌 P.10・11,貿易の窓口と琉球・アイヌ民族,B,力をつけよう,[1],(6),朝鮮通信使,maru,
2026-06-07 13:24,history,2,本誌 P.2・3,大航海によって結びつく世界,A,教科書で確認,[1],②,十字軍,maru,
2026-06-07 13:25,history,7,本誌 P.10・11,貿易の窓口と琉球・アイヌ民族,B,力をつけよう,[2],(1),イ,batsu,
2026-06-07 13:26,history,7,本誌 P.10・11,貿易の窓口と琉球・アイヌ民族,A,教科書で確認,[1],④,オランダ,maru,
2026-06-07 13:26,history,6,本誌 P.8・9,幕藩体制の始まりと貿易統制,A,教科書で確認,[2],⑭,島原・天草一揆,maru,
2026-06-07 13:26,history,2,本誌 P.2・3,大航海によって結びつく世界,A,教科書で確認,[2],⑩,マゼラン,maru,
2026-06-07 13:27,history,9,本誌 P.14・15,陸の道・海の道と元禄文化,B,力をつけよう,[2],(2)C,尾形光琳,batsu,
